player,degree,pagerank,degree_centrality,eigenvector_centrality,clustering_coeff,community,matches_played,avg_kills,win_rate
aaronnn,16,4.030460042027177e-05,0.0018198362147406734,0.00031134040603108534,0.00606982922793745,1,4,6.75,0.0
aaronthaofan69,9,3.626884172009308e-05,0.0010236578707916288,6.062963487342124e-06,0.006992412911202415,7,2,13.5,1.0
aaryan,9,2.4462428602249e-05,0.0010236578707916288,1.6259472434558072e-05,0.004805056370070966,15,1,7.0,0.0
aband,9,2.4391056865305647e-05,0.0010236578707916288,0.0004630623406236768,0.011804061747745002,1,2,8.5,0.0
abao,16,3.577897410640503e-05,0.0018198362147406734,1.0505012364329776e-06,0.004584669819528371,0,3,8.333333333333334,0.0
abassy,9,3.373300740907491e-05,0.0010236578707916288,6.619849741355906e-07,0.010003259079451229,3,2,8.5,0.0
abatman,109,0.00019593915984020505,0.012397634212920838,0.00010997345899761274,0.006723544382869973,16,65,14.876923076923077,0.4
abcdezzzzzzzzzzz,19,3.5693391864511765e-05,0.0021610555050045497,0.00010038875999265217,0.005295635499245692,16,3,16.0,0.0
abdur,108,0.00019582314702050002,0.012283894449499545,0.00019739015835034575,0.005570886017036714,8,57,12.43859649122807,0.43859649122807015
abel,18,3.427375380915105e-05,0.0020473157415832575,0.00025551334093615086,0.004139359130093722,1,3,9.0,0.0
ablej,42,8.363547481914382e-05,0.004777070063694267,0.00023507196216608622,0.01572628577258793,9,27,12.481481481481481,0.5185185185185185
abo,65,0.00010314514432352775,0.007393084622383986,0.00012085952212674949,0.013663955426406443,0,42,14.738095238095237,0.6428571428571429
abongcs,19,5.016262177888311e-05,0.0021610555050045497,3.9889197989962467e-07,0.008482633147985842,16,6,15.333333333333334,0.3333333333333333
abram,52,4.985241876551483e-05,0.005914467697907188,0.0023502035524322197,0.00418316769267382,1,11,14.363636363636363,0.09090909090909091
abril,19,4.029848107803256e-05,0.0021610555050045497,4.0128705120870284e-07,0.004509423701133602,11,3,13.0,0.3333333333333333
abrvxas,9,3.109608076921885e-05,0.0010236578707916288,0.000334473756597676,0.009026876772936973,1,2,9.0,0.0
abstract,9,4.4451648696421935e-05,0.0010236578707916288,2.9418141844711842e-06,0.006886995660622673,16,2,5.5,0.0
abyssal,14,4.667121732097205e-05,0.0015923566878980893,1.7744398277136014e-06,0.007547350441474064,3,4,15.5,0.5
ac,133,0.00040037944530134904,0.015127388535031847,0.00040806553598956614,0.012603681009606786,0,167,14.275449101796408,0.5568862275449101
acapp,19,3.112837478405571e-05,0.0021610555050045497,5.399080162708126e-06,0.011326734843053273,16,6,11.833333333333334,0.5
acc,34,5.910118200174103e-05,0.003867151956323931,1.3846509775283925e-05,0.007114501993810944,0,14,15.285714285714286,0.14285714285714285
accel,20,5.665894619565144e-05,0.002274795268425842,6.722958746172298e-06,0.00850724081411296,4,9,11.666666666666666,0.1111111111111111
acchr,77,0.00010979971095285454,0.00875796178343949,0.0001266509523046732,0.008691933746854525,0,37,16.81081081081081,0.4594594594594595
ace,118,0.00024085058832832548,0.013421292083712467,9.593460791779422e-05,0.0026819342761061887,0,51,13.941176470588236,0.47058823529411764
acemax,9,3.301687143667778e-05,0.0010236578707916288,1.2318682190545202e-06,0.009114453766265858,3,2,10.5,0.0
acerola,43,9.577994861357255e-05,0.0048908098271155595,4.1412988203397004e-05,0.01591441656984274,16,29,13.862068965517242,0.5172413793103449
acetics,161,0.00035053058104363854,0.018312101910828025,0.00025592367348120654,0.0062757452685017505,16,125,13.656,0.464
ache,9,3.4019644795533794e-05,0.0010236578707916288,4.081181589783465e-07,0.009527522254137322,3,2,11.5,0.0
achrf,25,0.000103991305249928,0.0028434940855323024,4.087782863524193e-06,0.01752699331609859,14,21,16.857142857142858,0.38095238095238093
acids,9,2.8786408934364268e-05,0.0010236578707916288,0.0004837496648427624,0.010149109047259443,1,2,8.0,0.0
aclx,95,0.0002709982105858722,0.010805277525022748,2.1917304851290442e-05,0.006467819960250846,0,61,13.901639344262295,0.3442622950819672
acme,79,0.00017924666709423997,0.008985441310282075,0.00010636215500600251,0.0063844707782974835,4,41,14.731707317073171,0.24390243902439024
acorn,15,7.20366300416519e-05,0.0017060964513193812,4.921708867093743e-06,0.00562387676600867,15,4,19.25,0.5
acrian,138,0.00021207653785218624,0.01569608735213831,0.014659118747938746,0.005028981762845753,1,69,14.246376811594203,0.5217391304347826
acti,9,2.5791807063064586e-05,0.0010236578707916288,5.457383235660141e-07,0.005965633211821847,11,1,4.0,0.0
activeshooter,16,3.8934413028962936e-05,0.0018198362147406734,9.00776908690656e-06,0.008106933192827142,12,5,11.4,0.2
activghostz,9,2.9294858053929078e-05,0.0010236578707916288,1.733223094707458e-05,0.010268861547788518,7,2,10.5,0.0
acts,23,3.666375831272365e-05,0.002616014558689718,0.0004936730919610197,0.004321295340105628,1,4,10.75,0.0
ada,9,2.6882892665801965e-05,0.0010236578707916288,1.3340004309159279e-05,0.007689781515129844,3,2,15.5,0.0
adachi,9,2.4513171667309166e-05,0.0010236578707916288,2.2107883489733964e-06,0.00499218409635257,7,1,16.0,1.0
adam,145,0.0001554497333332059,0.016492265696087353,0.005978692795165094,0.0030353949499385743,1,44,14.181818181818182,0.22727272727272727
adamada,9,3.224398103103008e-05,0.0010236578707916288,0.00018748743903511774,0.009403774453491496,1,2,9.5,0.0
adams,9,5.0323015114678077e-05,0.0010236578707916288,4.347803297390913e-08,0.010773806563081375,14,3,11.0,0.3333333333333333
add3r,417,0.0007472869253786636,0.0474294813466788,0.07331153999920954,0.005100228235319395,1,284,14.742957746478874,0.5598591549295775
addicted,184,0.0003116887525873532,0.020928116469517744,9.679852687403797e-05,0.0028018984638638602,3,81,14.012345679012345,0.7530864197530864
addison,82,0.00010141780350910499,0.009326660600545952,0.004605315165445804,0.003981334184551216,1,27,14.11111111111111,0.2222222222222222
addy,9,2.8336549015645464e-05,0.0010236578707916288,0.0001663023760535571,0.006966794960093465,1,1,15.0,0.0
ade,57,0.00013263066552067005,0.006483166515013649,7.048656340703746e-05,0.005098359832953467,4,22,10.545454545454545,0.5454545454545454
adelajn,31,7.576856461986236e-05,0.0035259326660600546,3.1398269037966335e-06,0.006923091560836159,11,12,10.25,0.4166666666666667
adenina,35,0.00013984099463286334,0.003980891719745223,5.064303122621376e-06,0.00916657129535838,13,18,12.333333333333334,0.3333333333333333
adhamsoliman,9,9.464176715738452e-05,0.0010236578707916288,6.704672544697716e-08,0.006349206349206349,17,2,14.0,1.0
adhd1080p,30,5.935776779646344e-05,0.0034121929026387624,3.276035634819813e-05,0.01221903832350887,12,13,10.692307692307692,0.23076923076923078
adi,111,0.0002686099269196788,0.012625113739763421,0.0005302048630250956,0.004532732647332969,9,62,12.17741935483871,0.24193548387096775
adm1k,226,0.0004558592336414944,0.02570518653321201,0.0001824593236050706,0.004080264670277438,3,136,13.205882352941176,0.47794117647058826
adn,9,3.518519197164139e-05,0.0010236578707916288,7.040219527207948e-07,0.008106064105820382,3,2,9.0,0.0
adnapbackwards,9,9.464176715738452e-05,0.0010236578707916288,6.704672544697716e-08,0.006349206349206349,17,2,10.5,1.0
adome,9,2.8178692665590494e-05,0.0010236578707916288,6.700466695341041e-07,0.006259792867541418,3,1,8.0,0.0
adrenaline,275,0.0003779269855719592,0.031278434940855325,0.03956102970628366,0.0050575639017684726,1,145,12.613793103448275,0.496551724137931
adrian,9,2.7413234032100675e-05,0.0010236578707916288,0.0003842092283005014,0.011629261371535408,1,2,13.0,0.0
adrnking,190,0.000353585237966819,0.021610555050045496,0.0001829611147642298,0.004969825855197675,16,127,15.448818897637794,0.6299212598425197
aduka,165,0.0003125639213297858,0.018767060964513194,0.0001662563113087923,0.005062496068003692,16,110,16.4,0.39090909090909093
adum,9,2.511016258733969e-05,0.0010236578707916288,0.00015896185017454155,0.006461052126705974,1,1,2.0,0.0
aduu,10,3.183714832048151e-05,0.001137397634212921,3.609655955581584e-06,0.008152106339665424,8,2,9.0,0.0
advance,18,4.147717381985063e-05,0.0020473157415832575,0.0007870435314706541,0.006935424405044756,1,4,9.5,0.0
adverso,186,0.00043583440513173487,0.021155595996360327,0.0014748761648806336,0.004558462289282605,9,141,15.397163120567376,0.6028368794326241
adyaan,9,2.9614052635632863e-05,0.0010236578707916288,0.00025742313020663026,0.006649552170406795,1,1,8.0,0.0
aegis,80,0.00015618120302240507,0.009099181073703368,0.00010169194888880995,0.006094234166793514,3,46,13.630434782608695,0.43478260869565216
aegron,9,3.253442953097517e-05,0.0010236578707916288,1.2693532233913982e-06,0.009144384513380512,10,2,5.0,0.0
aeiden,65,9.367569940605087e-05,0.007393084622383986,4.5021294499077083e-05,0.003047079486802404,3,21,15.047619047619047,0.3333333333333333
aeonyx,20,4.107408911397409e-05,0.002274795268425842,2.9077034200696526e-06,0.01248527181713928,16,8,13.875,0.5
aeonz,14,3.821943201863348e-05,0.0015923566878980893,7.705850964462671e-06,0.00928811136925331,16,4,17.0,0.0
aeral,19,4.818507618261312e-05,0.0021610555050045497,1.9703869945994653e-07,0.003056244980591759,3,3,16.333333333333332,0.0
aerovix,9,2.9460970120131192e-05,0.0010236578707916288,7.98878570304643e-06,0.009105681901190458,7,2,7.5,0.0
aery,18,6.540692534487607e-05,0.0020473157415832575,1.6922625596276576e-05,0.003267332537450254,7,3,9.333333333333334,0.0
aesop,31,6.627526140340042e-05,0.0035259326660600546,9.047258478935822e-06,0.0059403655277731685,8,10,16.0,0.2
aespirin,9,2.2947603904913434e-05,0.0010236578707916288,0.00023575369732889008,0.005575904901303082,1,1,5.0,0.0
aetha,16,7.139456495201955e-05,0.0018198362147406734,1.056337710063236e-05,0.008461613954333837,15,7,14.428571428571429,0.42857142857142855
aeyko,30,5.7176455935421805e-05,0.0034121929026387624,4.673941684627673e-06,0.004864281325464975,3,8,17.125,0.375
